Emotion value,Content
0.923,3
-0.7502,5
0.923,2
-0.923,0
-0.4616,3
-0.9995,6
0.0187,1
0.7501,4
0.7136,5
1.0,1
-0.7501,2
0.75,0
-0.923,6
0.9231,2
0.75,1
-0.9231,0
0.0123,5
0.923,4
0.4615,1
0.9829,3
0.9228,2
-0.9997,5
0.923,4
0.75,1
-0.4621,0
0.7499,5
-0.4616,3
0.0096,1
0.9228,4
0.7498,5
-0.9881,6
0.75,0
0.7136,2
-0.6663,1
0.9231,0
0.9228,4
-0.9231,5
0.75,1
-0.7501,6
0.75,0
0.75,5
0.7503,2
0.923,2
0.7498,3
0.0115,1
0.9228,0
-0.9998,2
-0.6664,6
0.9231,4
-0.4616,5
0.7136,1
0.75,4
0.75,2
0.75,0
0.75,1
-0.7501,4
0.9228,5
-0.9231,1
-0.9997,5
0.9228,4
-0.0113,2
0.9228,1
0.75,0
-0.4616,6
0.75,5
-0.7514,2
0.0238,6
-0.4617,2
0.0165,5
0.9231,1
0.75,2
-0.7544,0
0.75,2
0.9228,6
0.75,1
0.9228,0
